ps aux
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          98  0.0  0.0      0     0 ?        S    lug23   0:00 [kdevtmpfs]
root          99  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-in
root         101  0.0  0.0      0     0 ?        S    lug23   0:00 [kauditd]
root         102  0.0  0.0      0     0 ?        S    lug23   0:00 [khungtaskd]
root         103  0.0  0.0      0     0 ?        S    lug23   0:00 [oom_reaper]
root         105  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-wr
root         106  0.0  0.0      0     0 ?        S    lug23   0:02 [kcompactd0]
root         107  0.0  0.0      0     0 ?        SN   lug23   0:00 [ksmd]
root         108  0.0  0.0      0     0 ?        SN   lug23   0:04 [khugepaged]
root         109  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-ki
root         110  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-kb
root         111  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-bl
root         112  0.0  0.0      0     0 ?        S    lug23   0:03 [irq/9-acpi]
root         126  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-tp
root         127  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-at
root         128  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-md
root         129  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-md
root         130  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-ed
root         131  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-hv
root         132  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-hv
root         133  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-hv
root         134  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-hv
root         135  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-de
root         136  0.0  0.0      0     0 ?        S    lug23   0:00 [watchdogd]
root         137  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/2:1H
root         138  0.0  0.0      0     0 ?        S    lug23   0:00 [kswapd0]
root         139  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/0:1H
root         140  0.0  0.0      0     0 ?        S    lug23   0:00 [ecryptfs-kth
root         141  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-kt
root         142  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-nf
root         143  0.0  0.0      0     0 ?        I<   lug23   0:00 [kworker/R-nv
root         144  0.0  0.0      0     0 ?        S    lug23   0:00 [scsi_eh_0]
